Country,Period_ID
korea,1289
korea,1287
krakow,771
crete,631
palatinate,1122
palatinate,1127
lundy,1192
livonia,1265
livonia,1266
livonia,1267
lippe,653
lippe,889
lombardy_venetia,1033
lombardy_venetia,772
lucca,1036
lucca,1034
lucca,1035
liege,1159
lubeck,469
lubeck,1204
lubeck,1205
mainz,1233
mainz,1073
malaya,561
malaya_british_borneo,563
majorca,1144
mantua,1225
mewar,1058
mecklenburg_strelitz,657
mecklenburg_strelitz,992
mecklenburg_strelitz,993
mecklenburg_schwerin,656
mecklenburg_schwerin,975
milan,936
milan,935
moldavia_and_wallachia,1068
mombasa,803
nawanagar,1170
navarra,1016
nassau,854
nassau_weilburg,1078
nassau_usingen,1077
naples,1053
naples,1052
naples,1055
naples,1057
naples,1054
naples,1263
new_guinea,689
new_hebrides,637
newfoundland,680
oldenburg,658
oldenburg,976
ottoman_empire,498
ottoman_empire,499
ottoman_empire,500
ottoman_empire,501
ottoman_empire,502
ottoman_empire,933
ottoman_empire,1098
ottoman_empire,1097
ottoman_empire,1096
ottoman_empire,1095
papal_states,710
papal_states,711
papal_states,1067
parma,887
further_austria,1156
porbandar,1247
portuguese_timor,593
portuguese_timor,592
prussia,436
prussia,778
prussia,873
prussia,872
prussia,874
prussia,877
prussia,1060
prussia,878
prussia,941
pudukkottai,1110
palatine_zweibrucken,1250
piedmont,1181
piedmont,1180
ras_al_khaimah,984
ratlam,1168
reuss_gera,661
reuss_gera,1123
reuss_greiz,660
reuss_greiz,928
central_american_republic,850
roman_republic,1031
roman_republic,1032
rhodesia,536
rhodesia,535
rhodesia,534
rhodesia,485
rhodesia_nyasaland,534
ruanda_burundi,670
ruanda_urundi,669
ryukyu,1248
saar,297
saxe_altenburg,662
saxe_altenburg,1013
saxe_weimar_eisenach,473
saxe_weimar_eisenach,997
saxe_weimar_eisenach,996
saxe_hildburghausen,1241
saxe_hildburghausen,1257
saxe_coburg_gotha,663
saxe_coburg_gotha,1014
saxe_meiningen,470
saxe_meiningen,920
saxony,457
saxony,868
saxony,855
saxony,932
saxony,1062
sarawak,681
sardinia,773
sardinia,925
sardinia,924
congo_free_state,679
north_borneo,600
silesia,1196
silesia,1197
silesia,1198
sicily,1114
sicily,1116
ussr,28
ussr,32
ussr,64
ussr,65
straits_settlements,588
straits_settlements,587
straits_settlements,586
tannu_tuva,742
tibet,809
tonk,1092
tonkin,1211
tuscany,797
tuscany,786
tuscany,1175
tuscany,1176
travancore,1011
transylvania,1184
umm_al_qaiwain,986
frankfurt,910
frankfurt,1259
french_west_africa,640
french_cochinchina,751
french_oceania,735
french_equatorial_africa,639
afars_issas,678
french_colonies,962
french_indochina,350
french_somaliland,686
hyderabad,739
hyderabad,1109
hejaz,799
hejaz,807
khorezm,1149
ceylon,349
ceylon,351
ceylon,517
ceylon,518
ceylon,519
ceylon,978
ceylon,1015
kiau_chau,888
czechoslovakia,35
czechoslovakia,37
czechoslovakia,207
czechoslovakia,172
sharjah,985
schaumburg_lippe,659
schaumburg_lippe,990
schaumburg_lippe,991
schwarzburg_sondershausen,1264
schwarzburg_rudolstadt,664
schwarzburg_rudolstadt,927
schwarzburg_rudolstadt,969
swiss_cantons,1074
swiss_cantons,1142
swiss_cantons,842
swiss_cantons,843
swiss_cantons,841
swiss_cantons,840
swiss_cantons,839
swiss_cantons,1218
swiss_cantons,823
swiss_cantons,822
swiss_cantons,833
swiss_cantons,837
swiss_cantons,832
swiss_cantons,834
swiss_cantons,836
swiss_cantons,835
swiss_cantons,825
swiss_cantons,826
swiss_cantons,824
swiss_cantons,1258
swiss_cantons,1262
swiss_cantons,845
swiss_cantons,1217
swiss_cantons,1202
swiss_cantons,1059
swiss_cantons,1224
swiss_cantons,1261
schleswig_holstein,1070
schleswig_holstein,1069
scotland,849
scotland,852
scotland,1187
scotland,1188
scotland,1189
spitsbergen,685
equatorial_african_states,591
fujairah,983
yugoslavia,124
yugoslavia,138
yugoslavia,278
south_arabia,582
southern_rhodesia,485
zar,767
south_vietnam,539
south_yemen,430
julich_berg,1232
julich_berg,1260
